,0,1,2
62,2022-12-04 19:31:26+00:00,1599486554162233344,RT @stantradingman: Waldorf Astoria in DC last week. https://t.co/36CC29bctG
63,2022-12-04 19:02:24+00:00,1599479247290400768,@ChelseaCirruzzo Do the Omakase at the Waldorf Astoria hotel
64,2022-12-04 18:55:12+00:00,1599477436621602816,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
65,2022-12-04 18:05:09+00:00,1599464841009594369,"Next week, staying at Waldorf Astoria a few blocks away for two nights only because I have free certificates. Awesome."
66,2022-12-04 17:57:04+00:00,1599462808898637825,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
67,2022-12-04 17:29:25+00:00,1599455850636398592,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
68,2022-12-04 17:26:39+00:00,1599455152758751232,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
69,2022-12-04 16:45:12+00:00,1599444720723558401,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
70,2022-12-04 16:41:57+00:00,1599443902872051712,"RT @MJ_007Club: Taj named as World's Strongest Hotel Brand for 2022: Brand Finance Report 

Top 10 List 👇

1. 🇮🇳 Taj
2. 🇬🇧 Premier Inn
3.…"
71,2022-12-04 16:37:02+00:00,1599442668018442244,"I tre moschettieri del Carapace! @lucadattoma @capaldiniluca @tenutelunelli @ Rome Cavalieri, A Waldorf Astoria Hot… https://t.co/r2hPbJQ8m6"
72,2022-12-04 16:28:48+00:00,1599440595520364544,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
73,2022-12-04 16:27:51+00:00,1599440356701274112,"RT @MJ_007Club: Taj named as World's Strongest Hotel Brand for 2022: Brand Finance Report 

Top 10 List 👇

1. 🇮🇳 Taj
2. 🇬🇧 Premier Inn
3.…"
74,2022-12-04 16:18:20+00:00,1599437959010336773,"Foto appena pubblicata @ Rome Cavalieri, A Waldorf Astoria Hotel https://t.co/uwI1bWT0jR"
75,2022-12-04 16:14:50+00:00,1599437080043565057,"RT @NCUEA: See you in Orlando, #NCUEA!

Save the date:
Summer Meeting
June 27 - 30, 2023

Waldorf Astoria Orlando https://t.co/jBhQYsBI3s"
76,2022-12-04 16:13:49+00:00,1599436822270332929,"RT @MJ_007Club: Taj named as World's Strongest Hotel Brand for 2022: Brand Finance Report 

Top 10 List 👇

1. 🇮🇳 Taj
2. 🇬🇧 Premier Inn
3.…"
77,2022-12-04 16:12:40+00:00,1599436535283138560,"See you in Orlando, #NCUEA!

Save the date:
Summer Meeting
June 27 - 30, 2023

Waldorf Astoria Orlando https://t.co/jBhQYsBI3s"
78,2022-12-04 16:00:05+00:00,1599433369561206784,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
79,2022-12-04 15:44:14+00:00,1599429376747409408,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
80,2022-12-04 15:41:19+00:00,1599428642865811459,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
